# t rg re1 re2
464 3.893780 7.660816 7.660816
465 3.984398 7.478069 7.478069
466 4.104091 7.660349 7.660349
467 4.024305 7.634097 7.634097
468 4.043658 7.706357 7.706357
469 3.933801 6.494569 6.494569
470 3.912449 6.999124 6.999124
471 3.882060 7.743863 7.743863
472 3.875805 9.204287 9.204287
473 3.981934 9.598478 9.598478
474 3.881639 9.985479 9.985479
475 3.656549 8.518186 8.518186
476 3.517092 8.278725 8.278725
477 3.367426 7.024380 7.024380
478 3.426759 7.331862 7.331862
479 3.554875 9.797192 9.797192
480 3.626903 9.648082 9.648082
481 3.731673 8.427973 8.427973
482 3.940421 7.328097 7.328097
483 3.911680 7.246685 7.246685
484 3.811339 7.887770 7.887770
485 3.753855 8.658968 8.658968
486 3.660504 8.664617 8.664617
487 3.748451 9.296823 9.296823
488 3.582295 8.894306 8.894306
489 3.433691 7.236640 7.236640
490 3.437018 7.345128 7.345128
491 3.569417 8.807665 8.807665
492 3.768857 9.362345 9.362345
493 3.728195 8.720047 8.720047
494 3.350815 8.362026 8.362026
495 3.086168 8.067274 8.067274
496 3.090632 7.805326 7.805326
497 3.028632 8.901588 8.901588
498 3.097935 8.955925 8.955925
499 3.088724 8.433263 8.433263
500 3.086146 7.806459 7.806459
501 3.332908 7.635950 7.635950
502 3.507197 9.030977 9.030977
503 3.674033 9.717523 9.717523
504 3.778647 9.992158 9.992158
505 3.785579 8.917792 8.917792
506 3.807432 10.307527 10.307527
507 3.968148 11.262138 11.262138
508 4.120777 11.373694 11.373694
509 4.082711 9.505824 9.505824
510 4.280143 9.074535 9.074535
511 4.178596 9.026760 9.026760
512 4.108469 8.843724 8.843724
513 4.119845 8.141478 8.141478
514 4.200760 7.838298 7.838298
515 4.035959 9.606083 9.606083
516 3.837247 9.982006 9.982006
517 3.841035 11.352433 11.352433
518 3.773991 11.329817 11.329817
519 3.923865 11.886778 11.886778
520 3.960074 11.793778 11.793778
521 4.129686 12.432208 12.432208
522 4.116430 12.659333 12.659333
523 4.162896 13.314740 13.314740
524 4.159837 12.780313 12.780313
525 4.217853 11.295214 11.295214
526 4.356108 13.287729 13.287729
